year,mo,region,extent,area
2000,Mar,S,4.09,2.67
2000,Apr,S,7.13,5.31
2000,May,S,10.92,8.56
2000,Jun,S,13.89,11.04
2000,Jul,S,16.1,12.99
2000,Aug,S,18.21,14.64
2000,Sep,S,18.89,15.07
2000,Oct,S,18.13,14.26
2000,Nov,S,15.76,11.81
2000,Dec,S,9.91,6.95
2001,Jan,N,14.2,12.35
2001,Feb,N,15.21,13.22
2001,Mar,N,15.52,13.64
2001,Apr,N,14.86,13.05
2001,May,N,13.51,11.38
2001,Jun,N,11.46,9.09
2001,Jul,N,9.07,6.29
2001,Aug,N,7.46,4.94
2001,Sep,N,6.73,4.59
2001,Oct,N,8.3,6.65
2001,Nov,N,10.66,9.08
2001,Dec,N,12.49,10.55
2001,Jan,S,5.23,3.64
2001,Feb,S,3.65,2.44
2001,Mar,S,4.73,3.36
2001,Apr,S,7.04,5.3
2001,May,S,10.33,8
2001,Jun,S,13.42,10.56
2001,Jul,S,15.85,12.58
2001,Aug,S,17.42,13.75
2001,Sep,S,18.17,14.36
2001,Oct,S,17.73,13.34
2001,Nov,S,15.61,11
2001,Dec,S,10.35,6.36
2002,Jan,N,14.27,12.26
2002,Feb,N,15.34,13.42
2002,Mar,N,15.35,13.42
2002,Apr,N,14.3,12.41
2002,May,N,12.97,11.16
2002,Jun,N,11.58,9.19
2002,Jul,N,9.27,6.44
2002,Aug,N,6.6,4.32
2002,Sep,N,5.83,4.03
2002,Oct,N,8.16,6.24
2002,Nov,N,10.34,8.75
2002,Dec,N,12.61,10.64
2002,Jan,S,4.74,2.95
2002,Feb,S,2.96,1.82
2002,Mar,S,3.75,2.36
2002,Apr,S,6.33,4.59
2002,May,S,9.51,7.18
2002,Jun,S,12.38,9.7
2002,Jul,S,15.41,12.52
2002,Aug,S,17.07,13.74
2002,Sep,S,17.89,14.1
2002,Oct,S,17.87,13.82
2002,Nov,S,15.41,11.67
2002,Dec,S,10.79,7.61
2003,Jan,N,14.39,12.29
2003,Feb,N,15.19,13.23
2003,Mar,N,15.48,13.42
2003,Apr,N,14.51,12.46
2003,May,N,13.02,10.89
2003,Jun,N,11.6,9.11
2003,Jul,N,9.21,6.15
2003,Aug,N,6.94,4.52
2003,Sep,N,6.12,4.05
2003,Oct,N,7.85,5.98
2003,Nov,N,10.13,8.57
2003,Dec,N,12.59,10.8
2003,Jan,S,5.77,4.11
2003,Feb,S,3.79,2.66
2003,Mar,S,4.44,3.24
2003,Apr,S,7.21,5.56
2003,May,S,10.74,8.45
2003,Jun,S,13.99,11.16
2003,Jul,S,16.4,13.17
2003,Aug,S,17.58,13.77
2003,Sep,S,18.3,14.14
2003,Oct,S,18.2,13.87
2003,Nov,S,16.11,11.47
2003,Dec,S,10.56,7.2
2004,Jan,N,14.03,12.26
2004,Feb,N,14.91,12.94
2004,Mar,N,14.99,12.99
2004,Apr,N,13.99,12.16
2004,May,N,12.56,10.92
2004,Jun,N,11.45,9.24
2004,Jul,N,9.43,6.51
2004,Aug,N,6.85,4.67
2004,Sep,N,5.98,4.39
2004,Oct,N,7.93,6.4
2004,Nov,N,10.34,8.95
2004,Dec,N,12.55,10.98
2004,Jan,S,5.59,3.8
2004,Feb,S,3.58,2.36
2004,Mar,S,4.53,3.16
2004,Apr,S,7.28,5.39
2004,May,S,10.47,8.19
2004,Jun,S,13.78,10.89
2004,Jul,S,16.33,13.16
2004,Aug,S,18.01,14.23
2004,Sep,S,18.92,14.59
2004,Oct,S,18.46,14.12
2004,Nov,S,16.08,11.75
2004,Dec,S,10.23,6.93
2005,Jan,N,13.66,11.92
2005,Feb,N,14.37,12.35
2005,Mar,N,14.69,12.74
2005,Apr,N,14.09,12.23
2005,May,N,12.91,10.88
2005,Jun,N,11.16,8.81
2005,Jul,N,8.65,5.9
2005,Aug,N,6.3,4.21
2005,Sep,N,5.5,4.07
2005,Oct,N,7.35,5.78
2005,Nov,N,10.22,8.8
2005,Dec,N,12.23,10.56
2005,Jan,S,4.75,3.18
2005,Feb,S,2.97,1.97
2005,Mar,S,4.08,2.73
2005,Apr,S,7.03,5.19
2005,May,S,10.29,7.96
2005,Jun,S,13.29,10.31
2005,Jul,S,16.16,12.72
2005,Aug,S,17.92,13.95
2005,Sep,S,18.8,14.85
2005,Oct,S,18.48,14.04
2005,Nov,S,16.32,11.8
2005,Dec,S,9.68,6.33
2006,Jan,N,13.47,11.65
2006,Feb,N,14.32,12.35
2006,Mar,N,14.42,12.52
2006,Apr,N,13.91,12.04
2006,May,N,12.52,10.45
2006,Jun,N,10.92,8.41
2006,Jul,N,8.46,5.79
2006,Aug,N,6.5,4.31
2006,Sep,N,5.86,4.01
2006,Oct,N,7.54,5.8
2006,Nov,N,9.66,8.13
2006,Dec,N,11.95,10.17
2006,Jan,S,4.16,2.81
2006,Feb,S,2.65,1.76
2006,Mar,S,3.21,2.01
2006,Apr,S,6.01,4.28
2006,May,S,9.46,7.2
2006,Jun,S,13.34,10.58
2006,Jul,S,16.11,12.88
2006,Aug,S,18.1,14.54
2006,Sep,S,19.09,15.18
2006,Oct,S,18.73,14.68
2006,Nov,S,16.23,11.61
2006,Dec,S,9.85,6.48
2007,Jan,N,13.7,11.86
2007,Feb,N,14.51,12.58
2007,Mar,N,14.54,12.56
2007,Apr,N,13.85,11.83
2007,May,N,12.78,10.77
2007,Jun,N,11.22,8.21
2007,Jul,N,7.94,5.13
2007,Aug,N,5.34,3.19
2007,Sep,N,4.27,2.82
2007,Oct,N,6.04,4.33
2007,Nov,N,9.76,8.06
2007,Dec,N,12.03,10.18
2007,Jan,S,4.67,3
2007,Feb,S,2.9,1.94
2007,Mar,S,3.83,2.54
2007,Apr,S,6.42,4.7
2007,May,S,9.65,7.54
2007,Jun,S,13.29,10.48
2007,Jul,S,15.96,12.61
2007,Aug,S,17.68,14.03
2007,Sep,S,18.86,15.39
2007,Oct,S,18.51,14.59
2007,Nov,S,15.89,12.16
2007,Dec,S,11.98,8.38
2008,Jan,N,13.89,12.3
2008,Feb,N,14.95,13.21
2008,Mar,N,15.18,13.53
2008,Apr,N,14.35,12.78
2008,May,N,12.97,11.25
2008,Jun,N,11.21,8.85
2008,Jul,N,8.68,6.06
2008,Aug,N,5.91,3.79
2008,Sep,N,4.69,3.26
2008,Oct,N,7.35,5.77
2008,Nov,N,10.34,9.05
2008,Dec,N,12.36,10.97
2008,Jan,S,6.41,4.07
2008,Feb,S,3.89,2.4
2008,Mar,S,5.28,3.68
2008,Apr,S,8.24,6.23
2008,May,S,11.05,8.6
2008,Jun,S,14.06,11.4
2008,Jul,S,16.09,12.95
2008,Aug,S,17.64,14.13
2008,Sep,S,18.15,14.39
2008,Oct,S,17.99,14.12
2008,Nov,S,16.25,12.01
2008,Dec,S,11.51,7.39
2009,Jan,N,13.91,12.32
2009,Feb,N,14.81,13.21
2009,Mar,N,14.98,13.43
2009,Apr,N,14.5,12.92
2009,May,N,13.19,11.48
2009,Jun,N,11.32,9.25
2009,Jul,N,8.47,6.12
2009,Aug,N,6.14,4.16
2009,Sep,N,5.26,3.76
2009,Oct,N,6.92,5.24
2009,Nov,N,9.77,8.36
2009,Dec,N,12.2,10.59
2009,Jan,S,5.71,3.5
2009,Feb,S,2.99,1.97
2009,Mar,S,4.44,3.02
2009,Apr,S,7.8,5.96
2009,May,S,10.93,8.46
2009,Jun,S,13.91,11.09
2009,Jul,S,16.26,13.09
2009,Aug,S,18.1,14.45
2009,Sep,S,18.96,15.08
2009,Oct,S,18.3,14.35
2009,Nov,S,15.85,11.8
2009,Dec,S,10.74,7.09
2010,Jan,N,13.74,12.04
2010,Feb,N,14.58,12.96
2010,Mar,N,15.14,13.53
2010,Apr,N,14.66,12.85
2010,May,N,12.87,10.88
2010,Jun,N,10.59,8.37
2010,Jul,N,8.07,5.57
2010,Aug,N,5.87,3.88
2010,Sep,N,4.87,3.34
2010,Oct,N,6.98,5.48
2010,Nov,N,9.61,8.43
2010,Dec,N,11.83,10.43
2010,Jan,S,4.96,3.33
2010,Feb,S,3.11,2.11
2010,Mar,S,3.85,2.66
2010,Apr,S,6.72,5
2010,May,S,10.64,8.33
2010,Jun,S,14.41,11.65
2010,Jul,S,16.92,13.74
2010,Aug,S,18.61,14.95
2010,Sep,S,18.8,14.43
2010,Oct,S,18.65,14.41
2010,Nov,S,16.75,11.92
2010,Dec,S,11.27,6.94
2011,Jan,N,13.46,11.83
2011,Feb,N,14.36,12.76
2011,Mar,N,14.55,12.83
2011,Apr,N,14.11,12.45
2011,May,N,12.68,10.74
2011,Jun,N,10.75,8.54
2011,Jul,N,7.72,5.4
2011,Aug,N,5.5,3.38
2011,Sep,N,4.56,3.21
2011,Oct,N,6.46,5.02
2011,Nov,N,9.77,8.52
2011,Dec,N,12.15,10.63
2011,Jan,S,4.51,3.05
2011,Feb,S,2.52,1.86
2011,Mar,S,3.37,2.26
2011,Apr,S,6.1,4.39
2011,May,S,10.09,7.85
2011,Jun,S,13.33,10.54
2011,Jul,S,15.75,12.34
2011,Aug,S,17.81,14.04
2011,Sep,S,18.74,14.57
2011,Oct,S,18.22,14.23
2011,Nov,S,15.76,11.77
2011,Dec,S,11.2,7.4
2012,Jan,N,13.73,12.21
2012,Feb,N,14.55,12.72
2012,Mar,N,15.2,13.41
2012,Apr,N,14.63,12.87
2012,May,N,13.01,11.05
2012,Jun,N,10.67,8.16
2012,Jul,N,7.67,5.09
2012,Aug,N,4.72,2.93
2012,Sep,N,3.57,2.41
2012,Oct,N,5.89,4.58
2012,Nov,N,9.39,8.06
2012,Dec,N,12.01,10.45
2012,Jan,S,5.65,3.71
2012,Feb,S,3.55,2.19
2012,Mar,S,4.55,2.91
2012,Apr,S,7.31,5.55
2012,May,S,10.46,8.15
2012,Jun,S,13.55,10.79
2012,Jul,S,16.3,13.31
2012,Aug,S,18.1,14.56
2012,Sep,S,19.21,15.41
2012,Oct,S,18.59,14.45
2012,Nov,S,16.11,12.07
2012,Dec,S,10.39,7.38
2013,Jan,N,13.7,12.02
2013,Feb,N,14.72,13.2
2013,Mar,N,15.03,13.45
2013,Apr,N,14.3,12.75
2013,May,N,13,11.25
2013,Jun,N,11.36,8.95
2013,Jul,N,8.13,5.81
2013,Aug,N,6.01,4.17
2013,Sep,N,5.21,3.78
2013,Oct,N,7.45,5.95
2013,Nov,N,9.94,8.66
2013,Dec,N,12.18,10.87
2013,Jan,S,5.54,3.94
